X,Specimen.Number,Alternative.tube.info,DNA.Concentration..ng.uL.,Species,LocalityInformation,Latitude,Longitude,Sex,Date,county,state,country,notes
109,AMNH111692,NA,NA,exsanguis,AMNH,NA,NA,NA,6/23/78,NA,NA,NA,
110,AMNH112014,NA,NA,sonorae,AMNH,NA,NA,NA,6/19/88,NA,NA,NA,
111,AMNH112085,NA,NA,exsanguis,AMNH,NA,NA,NA,6/13/83,NA,NA,NA,
112,AMNH112103,NA,NA,exsanguis,AMNH,NA,NA,NA,5/21/84,NA,NA,NA,
113,AMNH112661,NA,NA,arizonae,AMNH,NA,NA,NA,7/23/90,NA,NA,NA,
114,AMNH112675,NA,NA,neotesselatus,AMNH,38.15,-104.63,NA,5/21/99,Pueblo County,Colorado,United States,
115,AMNH113489,NA,NA,exsanguis,AMNH,NA,NA,NA,5/17/82,NA,NA,NA,
116,AMNH113500,NA,NA,exsanguis,AMNH,NA,NA,NA,6/11/85,NA,NA,NA,
117,AMNH113504,NA,NA,exsanguis,AMNH,NA,NA,NA,6/5/85,NA,NA,NA,
118,AMNH113517,NA,NA,exsanguis,AMNH,NA,NA,NA,6/11/85,NA,NA,NA,
119,AMNH113520,NA,NA,exsanguis,AMNH,NA,NA,NA,6/12/85,NA,NA,NA,
120,AMNH113792,NA,NA,exsanguis,AMNH,NA,NA,NA,6/2/83,NA,NA,NA,
121,AMNH113798,NA,NA,exsanguis,AMNH,NA,NA,NA,6/19/83,NA,NA,NA,
122,AMNH113803,NA,NA,exsanguis,AMNH,NA,NA,NA,6/17/83,NA,NA,NA,
123,AMNH113810,NA,NA,exsanguis,AMNH,NA,NA,NA,6/17/84,NA,NA,NA,
124,AMNH113814,NA,NA,exsanguis,AMNH,NA,NA,NA,8/4/84,NA,NA,NA,
125,AMNH113816,NA,NA,velox,AMNH,NA,NA,NA,8/4/84,NA,NA,NA,
126,AMNH113819,NA,NA,exsanguis,AMNH,NA,NA,NA,6/11/85,NA,NA,NA,
127,AMNH113820,NA,NA,exsanguis,AMNH,NA,NA,NA,7/6/85,NA,NA,NA,
128,AMNH113854,NA,NA,arizonae,AMNH,NA,NA,NA,7/3/82,NA,NA,NA,
129,AMNH113870,NA,NA,arizonae,AMNH,NA,NA,NA,8/2/83,NA,NA,NA,
130,AMNH113871,NA,NA,arizonae,AMNH,NA,NA,NA,8/2/83,NA,NA,NA,
131,AMNH113884,NA,NA,arizonae,AMNH,NA,NA,NA,6/6/86,NA,NA,NA,
132,AMNH113886,NA,NA,burti,AMNH,NA,NA,NA,7/27/86,NA,NA,NA,
133,AMNH114406,NA,NA,velox,AMNH,NA,NA,NA,6/19/88,NA,NA,NA,
134,AMNH116530,NA,NA,velox,AMNH,NA,NA,NA,7/19/82,NA,NA,NA,
135,AMNH116536,NA,NA,laredoensis,AMNH,NA,NA,NA,5/14/83,NA,NA,NA,
136,AMNH165989,NA,NA,exsanguis,AMNH,33.3556,-106.5942,NA,5/7/04,Sierra County,New Mexico,United States,
137,AMNHR131446,NA,NA,sonorae,AMNH,NA,NA,NA,NA,NA,NA,NA,
138,ANMO4643,NA,NA,tesselatus,ANMO_2021,NA,NA,NA,NA,NA,NA,NA,
139,ANMO4906,NA,NA,gularis,ANMO_2021,25.8333,-100.634028,M,7/22/21,NA,NA,NA,
140,ANMO4923,NA,NA,arizonae,ANMO_2021,27.4425,-102.3645,M,7/23/21,Ocampo,Coahuila,México,
141,ANMO4936,NA,NA,marmoratus,ANMO_2021,25.69784,-102.40513,F,7/25/21,Parras,Coahuila,México,
142,ANMO4937,NA,NA,marmoratus,ANMO_2021,25.69784,-102.40513,F,7/25/21,Parras,Coahuila,México,
143,ANMO4943,NA,106,marmoratus,ANMO_2021,27.72489,-104.90473,M,7/26/21,Camargo,Chihuahua,México,
144,ANMO4944,NA,49,marmoratus,ANMO_2021,27.72489,-104.90473,F,7/26/21,Camargo,Chihuahua,México,
145,ANMO4945,NA,NA,marmoratus,ANMO_2021,27.72489,-104.90473,M,7/26/21,Camargo,Chihuahua,México,
146,ANMO4948,NA,228,arizonae,ANMO_2021,27.745304,-105.194964,M,7/26/21,Camargo,Chihuahua,México,
147,ANMO4920,NA,NA,arizonae,ANMO1,27.4425,-102.3645,F,7/23/21,Ocampo,Coahuila,México,
