"","Specimen Number","Alternative tube info","DNA Concentration (ng/uL)","Species","LocalityInformation"
"228","ANMO4100",NA,26,"burti","ANMO3"
"229","ANMO4101","JCAM28.18",NA,"burti","ANMO3"
"230","ANMO4102",NA,NA,"burti","ANMO3"
"231","ANMO4103",NA,49.1,"burti","ANMO3"
"232","ANMO4104","JCAM28.19",NA,"burti","ANMO3"
"233","ANMO4105","JCAM28.20",NA,"burti","ANMO3"
"234","ANMO4109",NA,83.8,"burti","ANMO3"
"235","ANMO4110","JCAM30.1",NA,"burti","ANMO3"
"236","ANMO4118","JCAM30.2",NA,"burti","ANMO3"
"237","ANMO4155","JCAM30.3",NA,"burti","ANMO3"
"238","IDF160",NA,NA,"G","ANMO3"
"239","LACM119",NA,24,"G","ANMO3"
"240","LACM120",NA,50.7,"G","ANMO3"
"241","MC314",NA,NA,"motaguae","ANMO3"
"242","UGOV1302","JCAM50.9",NA,"burti","ANMO3"
"243","UOGV1104","JCAM28.5",NA,"motaguae","ANMO3"
"244","UOGV1321","JCAM89.7",NA,"burti","ANMO3"
"245","UOGV1322",NA,93.6,"burti","ANMO3"
"246","UOGV1647",NA,102,"G","ANMO3"
"247","UOGV861",NA,NA,"motaguae","ANMO3"
"248","UOGV894",NA,NA,"G","ANMO3"
"249","ANMO1498",NA,NA,"gularis","ANMO4"
"250","ANMO1502",NA,132,"gularis","ANMO4"
"251","ANMO1512",NA,NA,"gularis","ANMO4"
"252","ANMO4419",NA,NA,"guttatus","ANMO5"
"253","ANMO4541",NA,NA,"guttatus","ANMO5"
"254","ANMO4542",NA,NA,"guttatus","ANMO5"
"255","ANMO4575",NA,NA,"guttatus","ANMO5"
"256","ANMO4577",NA,NA,"guttatus","ANMO5"
"257","ANMO462",NA,NA,"guttatus","ANMO5"
"258","ANMO5170",NA,NA,"motaguae","Guatemala"
"259","ANMO5171",NA,NA,"motaguae","Guatemala"
"260","ANMO5176",NA,NA,"motaguae","Guatemala"
"261","ANMO5201",NA,NA,"angusticeps","Guatemala"
"262","ANMO5202",NA,NA,"angusticeps","Guatemala"
"263","ANMO5203",NA,NA,"angusticeps","Guatemala"
"264","ANMO5204",NA,NA,"angusticeps","Guatemala"
"265","ANMO5226",NA,NA,"angusticeps","Guatemala"
"266","ANMO5227",NA,NA,"angusticeps","Guatemala"
"267","ANMO5258",NA,NA,"motaguae","Guatemala"
"268","ANMO5267",NA,NA,"motaguae","Guatemala"
"269","ANMO5268",NA,NA,"motaguae","Guatemala"
"270","E125",NA,NA,"marmoratus","JEC"
"271","E38",NA,NA,"marmoratus","JEC"
"272","JEC9711",NA,NA,"gularis","JEC2"
"273","JEC9724",NA,NA,"laredoensis","JEC2"
"274","JEC9725",NA,NA,"gularis","JEC2"
"275","JEC9726",NA,NA,"gularis","JEC2"
"276","JEC9729",NA,NA,"gularis","JEC2"
"277","JEC9730",NA,NA,"laredoensis","JEC2"
"278","JEC9732",NA,NA,"laredoensis","JEC2"
"279","JEC9735",NA,NA,"laredoensis","JEC2"
"280","JEC9736",NA,NA,"laredoensis","JEC2"
"281","JEC9737",NA,NA,"gularis","JEC2"
"282","JEC9741",NA,NA,"gularis","JEC2"
"283","JEC9744",NA,NA,"laredoensis","JEC2"
"284","JEC9745",NA,NA,"laredoensis","JEC2"
"285","JEC9747",NA,NA,"laredoensis","JEC2"
"286","JEC9748",NA,NA,"laredoensis","JEC2"
"287","JEC9750",NA,NA,"laredoensis","JEC2"
"288","JEC9751",NA,NA,"laredoensis","JEC2"
"289","UADZ9714",NA,NA,"laredoensis","JEC2"
"290","LVL2021-01",NA,NA,"neotesselatus","LJL"
"291","LVL2021-02",NA,NA,"neotesselatus","LJL"
"292","LVL2021-03",NA,NA,"neotesselatus","LJL"
"293","LVL2021-04",NA,NA,"neotesselatus","LJL"
"294","LVL2021-05",NA,NA,"neotesselatus","LJL"
"295","LVL2021-06",NA,NA,"neotesselatus","LJL"
"296","LVL2021-08",NA,NA,"neotesselatus","LJL"
"297","LVL2021-09",NA,NA,"neotesselatus","LJL"
"298","LVL2021-10",NA,NA,"neotesselatus","LJL"
"299","LVL2021-11",NA,NA,"neotesselatus","LJL"
"300","LVL2021-12",NA,NA,"neotesselatus","LJL"
"301","LVL2021-13",NA,NA,"neotesselatus","LJL"
"302","LVL2021-14",NA,NA,"neotesselatus","LJL"
"303","LVL2021-15",NA,NA,"neotesselatus","LJL"
"304","LVL2021-16",NA,NA,"neotesselatus","LJL"
"305","LVL2021-17",NA,NA,"neotesselatus","LJL"
"306","RCT904",NA,NA,"sonorae","RCT"
"307","RCT905",NA,NA,"sonorae","RCT"
"308","RCT909",NA,NA,"sonorae","RCT"
"309","RCT914",NA,NA,"sonorae","RCT"
"310","RCT918",NA,NA,"velox","RCT"
"311","RCT922",NA,NA,"exsanguis","RCT"
"312","RCT924",NA,NA,"sonorae","RCT"
"313","RCT925",NA,NA,"marmoratus","RCT"
"314","RCT926",NA,NA,"marmoratus","RCT"
"315","RCT928",NA,NA,"tesselatus","RCT"
"316","RCT929",NA,NA,"arizonae","RCT"
"317","RCT931",NA,NA,"arizonae","RCT"
"318","RCT932",NA,NA,"arizonae","RCT"
"319","RCT939",NA,NA,"arizonae","RCT"
"320","RCT940",NA,NA,"arizonae","RCT"
"321","RCT948",NA,NA,"velox","RCT"
"322","RCT949",NA,NA,"velox","RCT"
"323","RCT954",NA,NA,"marmoratus","RCT"
"324","RCT957",NA,NA,"arizonae","RCT"
"325","RCT958",NA,NA,"arizonae","RCT"
"326","RCT960",NA,NA,"exsanguis","RCT"
"327","RCT961",NA,NA,"velox","RCT"
"328","RCT962",NA,NA,"velox","RCT"
"329","RCT964",NA,NA,"arizonae","RCT"
"330","RCT965",NA,NA,"arizonae","RCT"
"331","RCT966",NA,NA,"sonorae","RCT"
"332","RCT967",NA,NA,"sonorae","RCT"
"333","TWR1212",NA,NA,"velox","Reeder"
"334","TWR1213",NA,NA,"velox","Reeder"
"335","TWR1214",NA,NA,"velox","Reeder"
"336","TWR1215",NA,NA,"velox","Reeder"
"337","TWR1216",NA,NA,"velox","Reeder"
"338","TWR1219",NA,NA,"velox","Reeder"
"339","TWR1220",NA,NA,"velox","Reeder"
"340","TWR1234",NA,NA,"velox","Reeder"
"341","TWR1235",NA,NA,"velox","Reeder"
"342","TWR1236",NA,NA,"velox","Reeder"
"343","BKS1263",NA,NA,"arizonae","Sullivan"
"344","BKS1324",NA,NA,"arizonae","Sullivan"
"345","BKS1388",NA,NA,"arizonae","Sullivan"
"346","BKS1412",NA,NA,"arizonae","Sullivan"
"347","BKS1419",NA,NA,"velox","Sullivan"
"348","BKS1700",NA,NA,"velox","Sullivan"
"349","BKS1701",NA,NA,"velox","Sullivan"
"350","BKS1851",NA,NA,"burti","Sullivan"
"351","BKS1852",NA,NA,"burti","Sullivan"
"352","BKS1881",NA,NA,"arizonae","Sullivan"
"353","BKS2005",NA,NA,"tesselatus","Sullivan"
"354","BSK1893",NA,NA,"arizonae","Sullivan"
"355","AEH004",NA,NA,"angusticeps","UAEH"
"356","AER008",NA,NA,"angusticeps","UAEH"
"357","AER010",NA,NA,"angusticeps","UAEH"
"358","AER012",NA,NA,"angusticeps","UAEH"
"359","AER017",NA,NA,"angusticeps","UAEH"
"360","AER019",NA,NA,"cozumelus","UAEH"
"361","AER022",NA,NA,"angusticeps","UAEH"
"362","AER030",NA,NA,"angusticeps","UAEH"
"363","AER037",NA,NA,"cozumelus","UAEH"
"364","AER042",NA,NA,"angusticeps","UAEH"
"365","AER043",NA,NA,"angusticeps","UAEH"
"366","CY3",NA,NA,"cozumelus","UAEH"
"367","CY6",NA,NA,"cozumelus","UAEH"
"368","CY7",NA,NA,"cozumelus","UAEH"
"369","CY8",NA,76,"cozumelus","UAEH"
"370","LDOR057",NA,NA,"angusticeps","UAEH"
"371","NLMM017",NA,70,"cozumelus","UAEH"
"372","NLMM020",NA,NA,"cozumelus","UAEH"
"373","NLMM021",NA,NA,"cozumelus","UAEH"
"374","NLMM025",NA,NA,"cozumelus","UAEH"
"375","NLMM025",NA,NA,"cozumelus","UAEH"
"376","NLMM026",NA,NA,"cozumelus","UAEH"
"377","NLMM027",NA,NA,"cozumelus","UAEH"
"378","NLMM035",NA,NA,"cozumelus","UAEH"
"379","NLMM046",NA,NA,"cozumelus","UAEH"
"380","NLMM048",NA,NA,"cozumelus","UAEH"
"381","NLMM051",NA,NA,"cozumelus","UAEH"
"382","NLMM055",NA,NA,"cozumelus","UAEH"
"383","NLMM057",NA,NA,"cozumelus","UAEH"
"384","NLMM057",NA,NA,"cozumelus","UAEH"
"385","NLMM070",NA,NA,"cozumelus","UAEH"
"386","NLMM073",NA,NA,"cozumelus","UAEH"
"387","NLMM096",NA,NA,"cozumelus","UAEH"
"388","NLMM100",NA,NA,"cozumelus","UAEH"
"389","NLMM102",NA,NA,"cozumelus","UAEH"
"390","NLMM105",NA,NA,"cozumelus","UAEH"
"391","NLMM106",NA,NA,"cozumelus","UAEH"
"392","NLMM107",NA,NA,"cozumelus","UAEH"
"393","NLMM108",NA,NA,"cozumelus","UAEH"
"394","NLMM111",NA,NA,"cozumelus","UAEH"
"395","NLMM113",NA,NA,"cozumelus","UAEH"
"396","NLMM116",NA,NA,"cozumelus","UAEH"
"397","NLMM122",NA,NA,"cozumelus","UAEH"
"398","NLMM122",NA,NA,"cozumelus","UAEH"
"399","NLMM123",NA,NA,"cozumelus","UAEH"
"400","NLMM124",NA,NA,"cozumelus","UAEH"
"401","NLMM191",NA,NA,"cozumelus","UAEH"
"402","NLMM380",NA,NA,"angusticeps","UAEH"
"403","NLMM384",NA,NA,"angusticeps","UAEH"
"404","NLMM391",NA,NA,"angusticeps","UAEH"
"405","NLMM480",NA,NA,"angusticeps","UAEH"
"406","NLMM481",NA,NA,"cozumelus","UAEH"
"407","NLMM482",NA,90,"cozumelus","UAEH"
"408","SFDG114",NA,NA,"angusticeps","UAEH"
"409","SFDG120",NA,NA,"angusticeps","UAEH"
"410","SFDG121",NA,NA,"angusticeps","UAEH"
"411","SFDG162",NA,NA,"angusticeps","UAEH"
"412","SFDG164",NA,NA,"angusticeps","UAEH"
"413","SFDG167",NA,NA,"angusticeps","UAEH"
"414","SFDG179",NA,NA,"angusticeps","UAEH"
"415","SFDG362",NA,NA,"angusticeps","UAEH"
"416","UTEP17662",NA,NA,"velox","UTEP"
"417","UTEP18334",NA,NA,"arizonae","UTEP"
"418","UTEP18336",NA,NA,"velox","UTEP"
"419","UTEP19148",NA,NA,"arizonae","UTEP"
"420","UTEP19189",NA,NA,"exsanguis","UTEP"
"421","UTEP19841",NA,NA,"velox","UTEP"
"422","UTEP19949",NA,NA,"sexlineatus","UTEP"
"423","UTEP19952",NA,NA,"sexlineatus","UTEP"
"424","UTEP20320",NA,NA,"exsanguis","UTEP"
"425","UTEP20329",NA,NA,"gularis","UTEP"
"426","UTEP20688",NA,NA,"gularis","UTEP"
"427","UTEP20720",NA,NA,"velox","UTEP"
"428","UTEP20726",NA,NA,"gularis","UTEP"
"429","UTEP20928",NA,NA,"sexlineatus","UTEP"
"430","UTEP20964",NA,NA,"gularis","UTEP"
"431","UTEP21089",NA,NA,"arizonae","UTEP"
"432","UTEP21140",NA,NA,"gularis","UTEP"
"433","UTEP21143",NA,NA,"arizonae","UTEP"
"434","UTEP21547",NA,NA,"exsanguis","UTEP"
"435","UTEP21551",NA,NA,"velox","UTEP"
"436","UTEP21677",NA,NA,"neomexicanus","UTEP"
"437","UTEP21736",NA,NA,"sexlineatus","UTEP"
