"","Category","ID","Colector","# colector","Species","Subspecies","Clade","Clade map","State/Country","Locality","Latitude","Longitude","Elevation","Sex","Age","Extraction notebook","Extraction sample","Box new","Cell new","Plate","Well","Quality","Photo CJPV","Photo UH","Vol","ng/μl","μl p/500 ng","corrected # ANMO","Qual + Qu","Id map","Id mapa","Morphology","Comments"
"171","T Q",NA,"UOGV","917","deppii","deppii","dr Sierra Mixe","8-","Oax","1.5 km NW San Pedro Totolapan, por carretera Mex 190 Oaxaca-Juchitán",16.6852777777778,-96.3204166666667,NA,NA,NA,NA,NA,"1","B8",1,"B5","Good. Lots degraded dna","1,16","UH4",NA,"104",4.80769230769231,NA,"R*","8-R*","UOGV917",NA,NA
"172","Disc T NQ",NA,"JAC","22183","deppii","infernalis",NA,NA,"Gro","Rio Balsas, between Mexcala and San Agustin Oapan",17.9434,-99.46779,NA,NA,NA,NA,NA,"CARD","B3",NA,NA,"Bad. Mostly degraded","4,3",NA,NA,NA,NA,NA,"Bad",NA,NA,"Poco DNA en gel",NA
"173","T Q",NA,"EPR","1221","deppii","deppii","dr I Tehuantepec","7-","Oax","Mixtequilla",16.37444444,-95.2597222,NA,NA,NA,NA,NA,"1","C8",1,"C2","Good. Lots degraded dna","1,6","UH4",NA,"98.2",5.09164969450102,NA,"R*","7-R*","EPR1221",NA,NA
"174","T Q",NA,"MSM","349","deppii","deppii","dr Dep C Chis","5-","Guat",NA,NA,NA,NA,NA,NA,NA,NA,"1","C9",1,"C3","Regular. Lots degraded dna","4,8","UH3",NA,"96.8",5.16528925619835,NA,"R*","5-R*","MSM349",NA,NA
"175","T Q",NA,"ANMO","3108","deppii","infernalis","di Gro-Pue","11-","Gro","Aproximadamente km 55 sobre carretera Arcelia-Cd. Altamirano, “El Tanque”",18.2709444444444,-100.473555555556,NA,NA,NA,NA,NA,"1","E3",1,"D3","Regular. Mostly degraded","4,10","UH5",NA,"90.2",5.54323725055432,NA,"R*","11-R*","ANMO3108",NA,NA
"176","T Q",NA,"ANMO","2809","deppii","deppii","dr V Rica-L Tejada","10-","Ver","Chachalacas",19.4388055555556,-96.3215833333333,NA,NA,NA,NA,NA,"1","E5",1,"D5","Good. Lots degraded dna","2,20 y 7,3","UH4",NA,"89.8",5.56792873051225,NA,"R*","10-R*","ANMO2809",NA,NA
"177","T Q",NA,"UOGV","1522","deppii","infernalis","di Mich","12-","Mich","Carr. Nueva Italia-Apatzingan",19.0019166666667,-102.216472222222,NA,NA,NA,NA,NA,"1","E9",1,"D9","Good. Lots degraded dna","4,14","UH5",NA,"85.8",5.82750582750583,NA,"R*","12-R*","UOGV1522",NA,NA
"178","Unn T NQ dup",NA,"JJW","423-2","guttata","immutabilis",NA,NA,"Oax","Ventosa",16.55278,-94.94722,NA,NA,NA,NA,NA,"3","B4",NA,NA,NA,"7,14",NA,"300",NA,NA,NA,NA,NA,NA,"extraction",NA
"179","Disc T NQ",NA,"JJW","423-2","guttata","immutabilis",NA,NA,"Oax","Ventosa",16.55278,-94.94722,NA,NA,NA,NA,NA,"CARD","D9",NA,NA,"Bad. Very little",NA,"UH1","25",NA,NA,NA,"Bad",NA,NA,"extraction",NA
"180","T Q",NA,"IDF","173","guttata","immutabilis","gf-gi Cintalapa-P. Escondido+","14-","Oax","1.5 km NW San Pedro Totolapan, por carretera Mex 190 Oaxaca-Juchitán",16.6852777777778,-96.3204166666667,NA,NA,NA,NA,NA,"1","F1",1,"D10","Regular. Mostly degraded","4,19","UH6",NA,"85",5.88235294117647,NA,"R*","14-R*","IDF173",NA,NA
