"","BKS #","DATE","COL","SPECIES","LOCALITY"
"283",1449,"38199","BKS","hybrid whiptail","NM: Hidalgo Co., 2.0 mi. east Steins Cross., PLT, SR 80 (692920, 3566900)[A.t.  punctilinealis X A. marmorata]"
"284",1450,"38199","BKS","Gambelia wislizenii","NM: Hidalgo Co., 2.0 mi. east Steins Cross., PLT, SR 80 (692920, 3566900)"
"285",1451,"38200","BKS","hybrid whiptail","NM: Hidalgo Co., 1.5 mi. east Steins Crossing, PLT (692374, 3566907)[A. t. punctilinealis X A. marmorata]"
"286",1452,"38200","BKS","hybrid whiptail","NM: Hidalgo Co., 1.5 mi. east Steins Crossing, PLT (692374, 3566907)[A. t. punctilinealis X A. marmorata]"
"287",1453,"38200","BKS","hybrid whiptail","NM: Hidalgo Co., 1.5 mi. east Steins Crossing, PLT (692374, 3566907)[A. t. punctilinealis X A. marmorata]"
"288",1454,"38200","BKS","hybrid whiptail","NM: Hidalgo Co., 2.0 mi. east Steins Cross., PLT, SR 80 (692920, 3566900)[A. t. punctilinealis X A. marmorata]"
"289",1455,"38200","BKS","hybrid whiptail","NM: Hidalgo Co., 2.0 mi. east Steins Cross., PLT, SR 80 (692920, 3566900)[A. t. punctilinealis X A. marmorata]"
"290",1456,"38200","BKS","hybrid whiptail","NM: Hidalgo Co., 2.0 mi. east Steins Cross., PLT, SR 80 (692920, 3566900)[A. t. punctilinealis X A. marmorata]"
"291",1457,"38200","BKS","hybrid whiptail","NM: Hidalgo Co., 2.0 mi. east Steins Cross., PLT, SR 80 (692920, 3566900)[A. t. punctilinealis X A. marmorata]"
"292",1458,"38200","BKS","A. marmorata","NM: Hidalgo Co., Gary, immediately south I-10 exit, 5 mi. west Lordsburg (706190, 3577378)"
"293",1459,"38200","BKS","A. marmorata","NM: Hidalgo Co., Gary, immediately south I-10 exit, 5 mi. west Lordsburg (706190, 3577378)"
"294",1460,"38203","BKS","A. tigris","AZ: Maricopa Co., SR 60, 12 mi east of Aguila (319572, 3757576)[A. tigris X A. t. punctilinealis]"
"295",1461,"38203","BKS","Aspidoscelis tigris","AZ: Maricopa Co., SR 60, 12 mi east of Aguila (319572, 3757576)[A. tigris X A. t. punctilinealis]"
"296",1462,"38203","BKS","Aspidoscelis tigris","AZ: Maricopa Co., SR 60, 3 mi west of Aguila (293358, 3755466)[A. tigris X A. t. punctilinealis]"
"297",1463,"38203","BKS","Aspidoscelis tigris","AZ: Maricopa Co., SR 60, 3 mi west of Aguila (293358, 3755466)[A. tigris X A. t. punctilinealis]"
"298",1464,"38203","BKS","Aspidoscelis tigris","AZ: Maricopa Co., SR 60, 3 mi west of Aguila (293358, 3755466)[A. tigris X A. t. punctilinealis]"
"299",1465,"38203","BKS","Aspidoscelis tigris","AZ: La Paz Co., SR 60, 15 mi west of Aguila (276608, 3748968)[A. tigris X A. punctilinealis]"
"300",1466,"38203","BKS","Aspidoscelis tigris","AZ: La Paz Co., SR 60, 15 mi west of Aguila (276608, 3748968)[A. tigris X A. punctilinealis]"
"301",1467,"38203","BKS","Aspidoscelis tigris","AZ: La Paz Co., SR 60, 27 mi west of Aguila, just east of Hope (251676, 3736017)[A. tigris X A. t. punctilinealis]"
"302",1468,"38203","BKS","Aspidoscelis tigris","AZ: La Paz Co., SR 60, 27 mi west of Aguila, just east of Hope (251676, 3736017)[A. tigris X A. t. punctilinealis]"
"303",1469,"38203","BKS","Aspidoscelis tigris","AZ: La Paz Co., SR 60, 27 mi west of Aguila, just east of Hope (251676, 3736017)[A. tigris X A. t. punctilinealis]"
"304",1470,"38203","BKS","Aspidoscelis tigris","AZ: La Paz Co., SR 60, 27 mi west of Aguila, just east of Hope (251676, 3736017)[A. tigris X A. t. punctilinealis]"
"305",1471,"38203","BKS","Callisaurus draconoides","AZ: Maricopa Co., SR 60, 12 mi east of Aguila (319572, 3757576)"
"306",1472,"38211","BKS/MK","hybrid whiptail","NM: Hidalgo Co., 1.5 mi. east Steins Crossing, PLT (692190, 3566763)[A. t. punctilinealis X A. marmorata]"
"307",1473,"38211","BKS/MK","hybrid whiptail","NM: Hidalgo Co., 0.3 mi. east Steins Crossing, PLT (690401, 3566669)[A. t. punctilinealis X A. marmorata]"
"308",1474,"38211","BKS/MK","hybrid whiptail","NM: Hidalgo Co., 0.3 mi. east Steins Crossing, PLT (690401, 3566669)[A. t. punctilinealis X A. marmorata]"
"309",1475,"38211","BKS/MK","hybrid whiptail","NM: Hidalgo Co., 0.3 mi. west Steins Crossing, PLT (689185, 3566330)[A. t. punctilinealis X A. marmorata]"
"310",1476,"38211","BKS/MK","Aspid. uniparens","NM: Hidalgo Co., 0.3 mi. west Steins Crossing, PLT (689185, 3566330)[A. t. punctilinealis X A. marmorata]"
"311",1477,"38211","BKS/MK","hybrid whiptail","NM: Hidalgo Co., Cavot Rd exit I-10, 2 mi. east on PLT (686034, 3566282)[A. t. punctilinealis X A. marmorata]"
"312",1478,"38211","BKS/MK","Aspido. marmorata","NM: Hidalgo Co., Gary, immediately south I-10 exit, 5 mi. west Lordsburg (706261, 3577431)"
"313",1479,"38211","BKS/MK","Aspido. marmorata","NM: Hidalgo Co., Gary, immediately south I-10 exit, 5 mi. west Lordsburg (706261, 3577431)"
"314",1480,"38211","BKS/MK","Aspido. marmorata","NM: Hidalgo Co., Gary, immediately south I-10 exit, 5 mi. west Lordsburg (706261, 3577431)"
"315",1481,"38212","BKS/MK","hybrid whiptail","NM: Hidalgo Co., 0.7 mi. east Steins Crossing, PLT (691003, 3566784)[A. t. punctilinealis X A. marmorata]"
"316",1482,"38212","BKS/MK","hybrid whiptail","NM: Hidalgo Co., 0.7 mi. east Steins Crossing, PLT (691003, 3566784)[A. t. punctilinealis X A. marmorata]"
"317",1483,"38212","BKS/MK","hybrid whiptail","NM: Hidalgo Co., 1.5 mi. east Steins Crossing, PLT (692138, 3566807)[A. t. punctilinealis X A. marmorata]"
"318",1484,"38212","BKS/MK","hybrid whiptail","NM: Hidalgo Co., 1.5 mi. east Steins Crossing, PLT (692138, 3566807)[A. t. punctilinealis X A. marmorata]"
"319",1485,"38212","BKS/MK","A.. t. punctilinealis","AZ: Cochise Co., Cavot Rd exit, 1.0 mi. south I-10 on Cavot Rd (682117, 3566099)"
"320",1486,"38212","BKS/MK","A.. t. punctilinealis","AZ: Cochise Co., Cavot Rd exit, 1.0 mi. south I-10 on Cavot Rd (682117, 3566099)"
"321",1487,"38212","BKS/MK","A.. t. punctilinealis","AZ: Cochise Co., Cavot Rd exit, 1.0 mi. south I-10 on Cavot Rd (682117, 3566099)"
"322",1488,"38212","BKS/MK","A.. t. punctilinealis","AZ: Cochise Co., Cavot Rd exit, 1.0 mi. south I-10 on Cavot Rd (682117, 3566099)"
"323",1489,"38212","BKS/MK","A.. t. punctilinealis","AZ: Cochise Co., Cavot Rd exit, 1.0 mi. south I-10 on Cavot Rd (682117, 3566099)"
"324",1490,"38212","BKS/MK","A.. t. punctilinealis","AZ: Cochise Co., Cavot Rd exit, 1.0 mi. south I-10 on Cavot Rd (682117, 3566099)"
"325",1491,"38212","BKS/MK","A.. t. punctilinealis","AZ: Cochise Co., Cavot Rd exit, 1.0 mi. south I-10 on Cavot Rd (682117, 3566099)"
"326",1492,"38212","BKS/MK","A.. t. punctilinealis","AZ: Cochise Co., Cavot Rd exit, 1.0 mi. south I-10 on Cavot Rd (682117, 3566099)"
"327",1493,"38216","BKS","Aspidoscelis tigris","AZ: Marciopa Co., immediately south I-8 exit for Sentinel (293422, 3636907)[A. t. tigris X A, t.  punctilinealis]"
"328",1494,"38216","BKS","Aspidoscelis tigris","AZ: Marciopa Co., immediately south I-8 exit for Sentinel (293422, 3636907)[A. t. tigris X A, t.  punctilinealis]"
"329",1495,"38216","BKS","Aspidoscelis tigris","AZ: Marciopa Co., immediately south I-8 exit for Sentinel (293422, 3636907)[A. t. tigris X A, t.  punctilinealis]"
