"","ID","...2","...3","Colector","# colector","Especie","Subespecie","Type loc","Clado","Estado","Municipio","Localidad","Latitud","Longitud","Elevación","Sexo","Edad","ExtractionLibro","ExtractionSample","Box","Cell","Q hmw","Q deg","Photo","Vol","ng/μl","ul p/500 ng","Comentarios","Status","Sample","...31"
"76",39,"√",NA,"ANMO","4028","costata","costata",NA,"costata2","Morelos","Cuautla","Barranca Guayabos","18.776278000000001","-98.906166999999996","1392","Macho","Adulto","A7","C28.15",2,"E1","Low","No","39","25","28",17.8571428571429,NA,"R","Extraction",NA
"77",39,"√",NA,"ANMO","4029","costata","costata",NA,"costata2","Morelos","Cuautla","Barranca Guayabos","18.776278000000001","-98.906166999999996","1392","Hembra","Adulto",NA,NA,1,"I1","Intermediate","Low","UH2","20","45.2",11.0619469026549,NA,"R","Extraction",NA
"78",40,"√",NA,"UOGV","2266","costata","costata",NA,"costata2","Morelos","Ayala","Balneario Los Limones, Anenecuilco","18.746722222222225","-98.976333333333329","1174","Hembra?","Joven","A5","3.6",2,"C3","High","No","40","100","35",14.2857142857143,NA,"R","Extraction",NA
"79",40,NA,NA,"UOGV","2266","costata","costata",NA,"costata2","Morelos","Ayala","Balneario Los Limones, Anenecuilco","18.746722222222225","-98.976333333333329","1174","Hembra?","Joven",NA,NA,3,"D7",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"80",41,"√",NA,"UOGV","1477","costata","costata",NA,"costata2","Puebla","Jolalpan","Huachinantla","18.28616666666667","-98.966138888888892","900","Hembra","Adulto","A5","3.3",1,"D2","High","Intermediate","41","75","85.2",5.86854460093897,NA,"R*","Extraction",NA
"81",41,NA,NA,"UOGV","1477","costata","costata",NA,"costata2","Puebla","Jolalpan","Huachinantla","18.28616666666667","-98.966138888888892","900","Hembra","Adulto",NA,NA,3,"D8",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"82",42,"√",NA,"IDF","77","costata","costata",NA,"costata4","Guerrero","Chilpancingo de los Bravo","Camino a Omiltemi; Amojileca","17.569944444444399","-99.60733333333333","1826","Macho","Subadulto","A5","15.5",2,"A8","Low","Low","42","20","41.2",12.1359223300971,NA,"R","Extraction",NA
"83",42,NA,NA,"IDF","76","costata","costata",NA,"costata4","Guerrero","Chilpancingo de los Bravo","Camino a Omiltemi, antes de llegar a Amojileca","17.563694444444401","-99.55072222222222","1581","Hembra","Adulto",NA,NA,3,"D9",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"84",43,"√",NA,"ANMO","864","costata","costata",NA,"costata4","Guerrero","Huitzuco de los Figueroa","Aprox km 202 de la autopista México-Acapulco o aprox 18 km por dicha autopista del Río Balsas hacia México","18.042549999999999","-99.261966999999999","1200",NA,"Jóven","A5","5.1100000000000003",1,"H4","No","Low","43","19","51",9.80392156862745,NA,"R*","Extraction",NA
"85",43,"√",NA,"ANMO","865","costata","costata",NA,"costata4","Guerrero","Huitzuco de los Figueroa","Aprox km 202 de la autopista México-Acapulco o aprox 18 km por dicha autopista del Río Balsas hacia México","18.042549999999999","-99.261966999999999","1200","?",NA,NA,NA,1,"E8","High","Intermediate","UH1","98","71.2",7.02247191011236,NA,"R*","Extraction",NA
"86",44,"√",NA,"ANMO","3342","costata","costata",NA,"costata4","Guerrero","Eduardo Neri","Carreteta Iguala-Chilpancingo, Plan de Liebres","17.874806","-99.589444","687","Macho","Adulto",NA,NA,2,"B7","Intermediate","Low","UH2","20","37.4",13.3689839572193,NA,"R","Extraction",NA
