"","identificadorUnico","siglasColecciónMZFC","númeroCatálogoMZFC","etiquetaCampo","nombreEtiquetaCampo","catálogoCampo","colectorPrimario","siglasColectorPrimario","colectoresSecundarios","cantidadMuestras","tipoMuestra","sexo","etapaDesarrollo","actividadReproductiva","actividad","tipoPreparación","localización","otrosNúmerosCatálogo","obervacionesOrganismo","fotografías","autorFotografías","taxonesAsociados","tipoTejido","tejidoCajaCelda","TipoPreservaciónTejido","otroMaterialAsociado","horaColecta","añoColecta","mesColecta","díaColecta","hábitat","sitioColecta","observacionesColecta","país","estado","municipio","localidad","altitud","latitudGrados","latitudMinutos","latitudSegundos","longitudGrados","longitudMinutos","longitudSegundos","latitudDecimal","longitudDecimal","determinador","añoDeterminación","comentariosIdentificación","tipoNomenclatural","nombreCientífico","clase","familia","género","epítetoEspecífico","donador","correoElectrónicoContacto","fechaCatalogación","Subespecie","Subserie","Voucher (otro que MZFC)","Secuencia DNAmt","RADseq","EjemplarNoCatálogo","StatusID","Notas1","Notas2","TejCol_BUC","TejCaja_BUC","TejCelda_BUC"
"65",NA,NA,NA,"ANMO:5220","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo","Hembra",NA,NA,"Activa","Alcohol 85%","Universidad del Valle de Guatemala (UVG)",NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",9,"Bosque tropical perenifolio","Sobre hojarasca",NA,"Guatemala","Petén","Flores","Ixpop",154,NA,NA,NA,NA,NA,NA,16.9474062,-89.7015137,NA,NA,NA,NA,"Anolis lemurinus","Reptilia","Dactyloidae","Anolis","lemurinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,"ANMO:5221","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo","Macho",NA,NA,"Activa","Alcohol 85%","Universidad del Valle de Guatemala (UVG)",NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",9,"Bosque tropical perenifolio","Sobre hojarasca",NA,"Guatemala","Petén","Flores","Ixpop",154,NA,NA,NA,NA,NA,NA,16.9474062,-89.7015137,NA,NA,NA,NA,"Anolis lemurinus","Reptilia","Dactyloidae","Anolis","lemurinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,"ANMO:5222","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo","Macho",NA,NA,"Activa","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",9,"Bosque tropical perenifolio","Sobre hojarasca",NA,"Guatemala","Petén","Flores","Ixpop",154,NA,NA,NA,NA,NA,NA,16.9474062,-89.7015137,NA,NA,NA,NA,"Anolis unilobatus","Reptilia","Dactyloidae","Anolis","unilobatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,"ANMO:5223","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo","Hembra",NA,NA,"Activa","Alcohol 85%","Universidad del Valle de Guatemala (UVG)",NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",9,"Remanente de bosque tropical subcaducifolio","Sobre roca",NA,"Guatemala","Petén","La Libertad","Parque Ecológico Venus Verdoso",198,NA,NA,NA,NA,NA,NA,16.7895,-90.1096715410335,NA,NA,NA,NA,"Anolis lemurinus","Reptilia","Dactyloidae","Anolis","lemurinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,"ANMO:5224","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo","Macho",NA,NA,"Activa","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",9,"Remanente de bosque tropical subcaducifolio","Sobre hojarasca",NA,"Guatemala","Petén","La Libertad","Parque Ecológico Venus Verdoso",198,NA,NA,NA,NA,NA,NA,16.7895,-90.1096715410335,NA,NA,NA,NA,"Anolis lemurinus","Reptilia","Dactyloidae","Anolis","lemurinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,"ANMO:5225 (no lo encontramos)","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo","Hembra",NA,NA,"Activa","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",9,"Remanente de bosque tropical subcaducifolio","Sobre hojarasca",NA,"Guatemala","Petén","La Libertad","Parque Ecológico Venus Verdoso",198,NA,NA,NA,NA,NA,NA,16.7895,-90.1096715410335,NA,NA,NA,NA,"Anolis rodriguezii","Reptilia","Dactyloidae","Anolis","rodriguezii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,"ANMO:5226","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Activo","Alcohol 85%","Universidad del Valle de Guatemala (UVG)",NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",10,"Suelos de uso antropogénico para corte de madera. Pastizal y pinos plantados","Sobre suelo",NA,"Guatemala","Petén","La Libertad","Al sur de La Libertad, en las afueras. En auto hotel Los Pinos, antes de la Refinería La Libertad",191,NA,NA,NA,NA,NA,NA,16.7729,-90.1254,NA,NA,NA,NA,"Aspidoscelis angusticeps","Reptilia","Teiidae","Aspidoscelis","angusticeps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,"ANMO:5227","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Activo","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",10,"Suelos de uso antropogénico para corte de madera. Pastizal y pinos plantados","Sobre suelo",NA,"Guatemala","Petén","La Libertad","Al sur de La Libertad, en las afueras. En auto hotel Los Pinos, antes de la Refinería La Libertad",191,NA,NA,NA,NA,NA,NA,16.7729,-90.1254,NA,NA,NA,NA,"Aspidoscelis angusticeps","Reptilia","Teiidae","Aspidoscelis","angusticeps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,"ANMO:5228","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Activo","Alcohol 85%","Todo el tejido se lo quedó Anthony Barley para extraer todo el genoma",NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",10,"Suelos de uso antropogénico para corte de madera. Pastizal y pinos plantados","Sobre suelo",NA,"Guatemala","Petén","La Libertad","Al sur de La Libertad, en las afueras. En auto hotel Los Pinos, antes de la Refinería La Libertad",191,NA,NA,NA,NA,NA,NA,16.7729,-90.1254,NA,NA,NA,NA,"Aspidoscelis angusticeps","Reptilia","Teiidae","Aspidoscelis","angusticeps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,"ANMO:5229","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Activa","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",10,"Remanentes de Bosque tropical perennifolio. Los alrededores estaban deforestados","Sobre suelo",NA,"Guatemala","Petén","San Francisco","Entre La Libertad y San Francisco. Sobre carretera PET-11, a 10.7 km en línea recta hacia NE con dirección a San Francisco",187,NA,NA,NA,NA,NA,NA,16.81131,-90.02009,NA,NA,NA,NA,"Holcosus hartwegi","Reptilia","Teiidae","Holcosus","hartwegi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
